X_acc,Y_acc,Z_acc,X_gyro,Y_gyro,Z_gyro,Label
1.86,2.23,6.66,0.17,0.07,0.05,Normal
1.48,2.28,5.18,0.07,0.11,0.07,Normal
1.49,1.89,3.13,0.11,0.09,0.51,Normal
4.4,3.49,3.19,0.1,0.17,0.27,Normal
3.88,2.97,5.78,0.1,0.06,0.07,Normal
9.66,8.69,8.5,0.25,0.15,0.07,Normal
1.98,3.88,5.45,0.05,0.02,0.05,Normal
1.68,0.75,9.58,0.11,0.05,0.04,Normal
1.84,1.16,5.83,0.05,0.05,0.05,Normal
1.32,3.41,3.69,0.09,0.08,0.04,Normal
2.08,2.39,3.62,0.08,0.11,0.05,Normal
2.55,3.84,7.21,0.07,0.03,0.05,Normal
2.21,4.31,2.8,0.12,0.06,0.05,Normal
1.45,2.32,0.98,0.03,0.08,0.24,Normal
2.4,2.29,1.12,0.18,0.07,0.66,Normal
2.52,2.98,2.61,0.18,0.09,0.42,Normal
1.31,3.96,5.26,0.06,0.06,0.08,Normal
2.99,2.24,9.89,0.05,0.04,0.06,Normal
7.3,6.1,11.07,0.33,0.23,0.16,Normal
1.86,2.38,8.83,0.04,0.07,0.04,Normal
1.77,2.83,8.47,0.06,0.05,0.03,Normal
3.49,2.73,9.38,0.07,0.06,0.06,Normal
2.43,5.58,7.55,0.16,0.05,0.05,Normal
3.02,1.86,7.45,0.19,0.11,0.06,Normal
1.86,1.78,5.57,0.04,0.08,0.07,Normal
0.88,2.51,1.64,0.06,0.09,0.25,Normal
0.82,2.0,6.11,0.11,0.09,0.29,Normal
2.47,3.78,3.03,0.04,0.07,0.1,Normal
2.63,3.22,7.35,0.07,0.09,0.06,Normal
1.8,1.9,4.21,0.17,0.09,0.05,Normal
2.8,2.66,9.42,0.15,0.08,0.07,Normal
1.92,3.2,3.5,0.11,0.05,0.03,Normal
1.9,1.16,3.59,0.05,0.04,0.04,Normal
1.25,4.21,8.36,0.03,0.02,0.07,Normal
0.69,1.8,2.58,0.05,0.11,0.33,Normal
1.68,4.19,8.84,0.07,0.11,0.21,Normal
2.81,1.19,13.16,0.21,0.05,0.07,Normal
1.29,4.0,2.25,0.05,0.03,0.03,Normal
2.35,3.28,4.11,0.04,0.06,0.07,Normal
2.09,2.1,2.99,0.06,0.04,0.03,Normal
2.6,3.95,5.0,0.05,0.03,0.07,Normal
1.05,1.15,3.61,0.04,0.08,0.03,Normal
1.75,2.28,5.18,0.07,0.03,0.06,Normal
2.15,1.09,2.74,0.07,0.04,0.05,Normal
3.4,2.29,6.99,0.04,0.12,0.07,Normal
0.38,2.59,4.04,0.03,0.05,0.11,Normal
2.1,1.9,0.72,0.08,0.11,0.48,Normal
1.79,1.26,3.77,0.3,0.15,0.7,Normal
1.5,0.49,1.4,0.05,0.18,0.17,Normal
7.03,7.37,7.41,0.08,0.09,0.1,Normal
3.09,0.52,5.11,0.07,0.05,0.06,Normal
1.42,3.11,1.57,0.02,0.05,0.05,Normal
2.05,1.63,2.86,0.06,0.06,0.05,Normal
4.13,4.53,4.08,0.05,0.05,0.04,Normal
1.46,1.19,10.81,0.05,0.05,0.04,Normal
2.18,3.26,10.29,0.12,0.1,0.04,Normal
2.84,1.37,5.17,0.1,0.07,0.04,Normal
2.34,2.78,6.68,0.05,0.07,0.08,Normal
1.6,2.44,6.72,0.13,0.04,0.05,Normal
0.83,1.53,3.74,0.1,0.06,0.07,Normal
1.38,2.88,3.7,0.03,0.06,0.07,Normal
1.18,4.26,2.4,0.06,0.06,0.08,Normal
3.12,1.41,1.11,0.13,0.06,0.18,Normal
3.05,3.25,8.07,0.17,0.11,0.18,Normal
6.76,9.44,4.35,0.23,0.28,0.13,Normal
4.23,4.53,8.53,0.14,0.08,0.03,Normal
10.2,5.65,14.34,0.23,0.18,0.09,Normal
4.29,2.38,4.63,0.37,0.17,0.11,Normal
4.98,5.84,4.17,0.35,0.19,0.1,Normal
4.02,5.8,6.5,0.23,0.2,0.11,Normal
1.48,1.73,3.97,0.39,0.21,0.05,Normal
4.25,4.11,9.72,0.09,0.11,0.04,Normal
3.24,3.96,6.9,0.2,0.08,0.08,Normal
1.4,2.89,6.42,0.09,0.07,0.18,Normal
0.99,2.29,8.32,0.14,0.13,0.4,Normal
4.66,3.48,9.57,0.21,0.08,0.1,Normal
2.84,6.1,4.09,0.17,0.12,0.12,Normal
1.27,1.61,3.8,0.07,0.06,0.04,Normal
2.84,2.84,5.8,0.08,0.05,0.03,Normal
3.0,2.88,8.23,0.14,0.03,0.03,Normal
3.77,3.14,7.11,0.09,0.03,0.07,Normal
2.03,1.55,4.68,0.04,0.06,0.08,Normal
1.49,2.08,4.12,0.06,0.06,0.04,Normal
1.54,3.5,6.56,0.1,0.06,0.06,Normal
0.99,2.06,9.17,0.05,0.04,0.04,Normal
1.91,5.08,8.12,0.06,0.07,0.04,Normal
1.71,2.17,6.35,0.06,0.03,0.03,Normal
1.12,3.58,3.02,0.03,0.05,0.16,Normal
2.36,3.62,7.03,0.04,0.08,0.38,Normal
5.74,4.36,11.41,0.17,0.12,0.16,Normal
3.84,9.9,9.85,0.28,0.22,0.12,Normal
1.67,2.98,9.88,0.11,0.06,0.06,Normal
1.94,1.37,5.18,0.08,0.05,0.02,Normal
1.34,2.46,4.84,0.09,0.04,0.02,Normal
1.66,1.02,8.75,0.06,0.08,0.06,Normal
3.6,2.36,13.19,0.05,0.07,0.09,Normal
2.14,3.0,6.68,0.14,0.07,0.05,Normal
2.43,2.19,7.11,0.14,0.1,0.07,Normal
2.52,4.76,12.65,0.15,0.06,0.04,Normal
1.38,2.34,1.92,0.05,0.06,0.07,Normal
4.81,2.15,5.21,0.04,0.09,0.22,Normal
2.44,1.52,3.12,0.08,0.11,0.04,Normal
1.72,1.83,6.65,0.07,0.05,0.06,Normal
2.7,5.46,6.69,0.21,0.13,0.52,Normal
6.11,4.41,11.28,0.12,0.08,0.13,Normal
13.87,7.22,5.22,0.13,0.16,0.12,Normal
3.48,4.87,6.8,0.15,0.15,0.04,Normal
1.98,2.88,11.67,0.14,0.07,0.07,Normal
1.19,3.27,10.08,0.1,0.03,0.04,Normal
1.5,3.9,7.49,0.13,0.07,0.07,Normal
2.56,2.52,4.7,0.06,0.1,0.17,Normal
1.72,1.57,2.85,0.22,0.05,0.57,Normal
1.97,4.41,2.9,0.06,0.19,0.09,Normal
1.66,1.27,9.98,0.05,0.04,0.06,Normal
2.14,2.89,11.04,0.13,0.05,0.05,Normal
3.13,2.54,4.22,0.25,0.14,0.02,Normal
1.58,2.64,6.29,0.07,0.07,0.03,Normal
0.95,2.71,1.62,0.04,0.06,0.07,Normal
3.03,2.42,2.51,0.04,0.04,0.23,Normal
2.03,2.35,5.06,0.14,0.09,0.33,Normal
3.87,3.97,11.78,0.1,0.19,0.12,Normal
5.03,7.08,7.45,0.23,0.2,0.09,Normal
1.55,4.86,6.62,0.05,0.02,0.06,Normal
1.19,3.38,3.4,0.07,0.04,0.03,Normal
2.57,4.97,6.67,0.03,0.07,0.06,Normal
0.95,2.75,2.17,0.03,0.15,0.3,Normal
2.83,1.37,3.71,0.23,0.08,0.74,Normal
1.29,2.52,5.78,0.2,0.16,0.46,Normal
1.58,2.56,0.72,0.06,0.09,0.08,Normal
7.06,7.01,5.65,0.18,0.28,0.05,Normal
3.77,2.35,2.77,0.06,0.06,0.04,Normal
2.85,2.45,3.56,0.08,0.06,0.06,Normal
2.19,1.39,9.03,0.13,0.04,0.06,Normal
5.11,1.43,5.59,0.14,0.05,0.07,Normal
9.63,5.4,10.88,0.24,0.19,0.06,Normal
1.86,3.77,2.7,0.17,0.08,0.07,Normal
2.96,3.75,6.24,0.07,0.08,0.13,Normal
2.64,5.19,4.32,0.07,0.11,0.07,Normal
0.96,2.89,3.25,0.06,0.07,0.05,Normal
1.74,0.43,2.17,0.05,0.06,0.06,Normal
0.7,1.03,2.99,0.05,0.09,0.13,Normal
1.05,1.92,2.14,0.07,0.08,0.28,Normal
2.35,1.75,4.0,0.14,0.1,0.31,Normal
2.17,2.27,5.53,0.11,0.08,0.06,Normal
2.54,1.61,5.04,0.05,0.04,0.02,Normal
3.11,4.44,5.75,0.08,0.04,0.09,Normal
2.1,3.21,2.59,0.08,0.08,0.08,Normal
3.22,1.64,3.79,0.04,0.07,0.07,Normal
1.79,2.08,2.63,0.04,0.09,0.04,Normal
2.27,1.81,3.84,0.02,0.08,0.06,Normal
1.66,3.1,6.39,0.03,0.06,0.04,Normal
2.18,3.12,6.24,0.06,0.08,0.05,Normal
1.89,2.86,7.27,0.04,0.03,0.05,Normal
1.76,1.59,6.47,0.04,0.03,0.08,Normal
1.57,1.44,5.0,0.11,0.07,0.03,Normal
2.06,0.91,4.05,0.1,0.06,0.08,Normal
2.06,3.5,4.42,0.05,0.1,0.21,Normal
2.88,1.3,4.14,0.08,0.12,0.31,Normal
8.44,6.7,16.99,0.21,0.12,0.14,Normal
6.61,8.76,4.75,0.18,0.22,0.06,Normal
2.3,1.01,8.67,0.05,0.08,0.07,Normal
1.42,4.38,11.62,0.11,0.14,0.08,Normal
0.82,5.67,10.29,0.11,0.07,0.13,Normal
1.07,8.16,9.17,0.12,0.07,0.15,Normal
5.25,5.26,10.39,0.17,0.08,0.09,Normal
3.12,3.8,7.45,0.09,0.23,0.19,Normal
4.12,2.41,6.6,0.05,0.07,0.05,Normal
2.65,3.17,5.8,0.07,0.06,0.06,Normal
1.84,5.36,5.55,0.12,0.05,0.06,Normal
1.24,2.71,2.48,0.12,0.08,0.6,Normal
2.82,4.7,2.54,0.13,0.28,0.37,Normal
4.3,3.73,9.45,0.03,0.07,0.09,Normal
5.82,5.93,12.17,0.28,0.26,0.06,Normal
1.57,2.87,4.23,0.06,0.05,0.03,Normal
2.07,5.35,4.37,0.04,0.06,0.05,Normal
2.11,2.62,1.76,0.07,0.12,0.23,Normal
1.2,1.66,1.6,0.14,0.12,0.34,Normal
3.2,2.69,3.51,0.07,0.07,0.03,Normal
1.69,3.23,5.26,0.07,0.12,0.03,Normal
2.69,3.68,3.38,0.06,0.09,0.11,Normal
2.06,1.43,2.43,0.03,0.07,0.12,Normal
1.3,1.82,2.71,0.1,0.06,0.38,Normal
2.02,1.62,4.21,0.09,0.16,0.25,Normal
1.17,3.93,7.54,0.08,0.1,0.05,Normal
3.17,3.11,7.52,0.24,0.19,0.05,Normal
2.36,2.98,3.72,0.08,0.09,0.04,Normal
1.75,2.86,2.23,0.06,0.1,0.14,Normal
1.99,2.98,3.33,0.16,0.14,0.46,Normal
1.64,2.88,2.72,0.06,0.15,0.15,Normal
2.65,5.01,6.67,0.08,0.05,0.03,Normal
2.43,5.57,9.97,0.08,0.07,0.08,Normal
3.75,8.43,12.2,0.06,0.05,0.04,Normal
0.53,4.39,4.79,0.05,0.04,0.07,Normal
1.91,2.3,3.45,0.04,0.09,0.08,Normal
1.26,2.6,2.98,0.06,0.06,0.08,Normal
0.58,2.64,0.88,0.06,0.1,0.23,Normal
2.18,1.41,3.2,0.09,0.11,0.34,Normal
2.6,2.67,1.27,0.05,0.18,0.19,Normal
2.37,3.49,3.67,0.09,0.16,0.55,Normal
2.23,1.74,11.76,0.05,0.16,0.14,Normal
7.08,6.22,9.93,0.14,0.12,0.16,Normal
4.35,1.77,9.29,0.14,0.15,0.16,Normal
2.2,2.12,4.18,0.05,0.09,0.09,Normal
1.06,3.21,3.3,0.04,0.03,0.06,Normal
2.21,1.49,4.99,0.06,0.11,0.08,Normal
3.27,3.75,7.83,0.04,0.09,0.08,Normal
1.27,3.93,5.92,0.03,0.05,0.04,Normal
4.13,3.87,5.14,0.06,0.11,0.11,Normal
1.68,2.75,9.77,0.08,0.05,0.07,Normal
0.86,2.21,3.59,0.03,0.05,0.05,Normal
2.2,1.77,4.97,0.02,0.05,0.06,Normal
2.76,3.45,8.49,0.06,0.07,0.22,Normal
2.37,4.65,3.04,0.08,0.17,0.31,Normal
2.38,3.12,3.31,0.1,0.04,0.14,Normal
0.65,1.9,3.18,0.01,0.04,0.21,Normal
2.57,1.85,3.24,0.32,0.11,0.12,Normal
3.66,1.99,4.33,0.07,0.06,0.08,Normal
4.61,4.6,8.86,0.28,0.32,0.12,Normal
2.79,1.65,10.38,0.06,0.03,0.02,Normal
1.66,3.93,10.7,0.09,0.03,0.04,Normal
1.01,2.86,5.6,0.09,0.04,0.02,Normal
3.52,5.07,11.07,0.11,0.1,0.08,Normal
1.85,4.65,10.47,0.08,0.13,0.09,Normal
1.93,10.93,4.8,0.12,0.19,0.08,Normal
2.85,4.62,12.36,0.08,0.06,0.05,Normal
6.23,3.14,12.52,0.06,0.07,0.04,Normal
1.64,5.57,5.04,0.1,0.11,0.03,Normal
3.76,1.17,5.63,0.06,0.11,0.07,Normal
3.75,6.68,2.23,0.13,0.15,0.43,Normal
1.76,3.24,1.29,0.08,0.1,0.16,Normal
2.96,2.17,9.45,0.04,0.07,0.04,Normal
3.5,1.69,9.35,0.1,0.05,0.07,Normal
3.18,5.66,12.58,0.12,0.1,0.03,Normal
1.8,2.24,10.76,0.05,0.08,0.08,Normal
1.48,2.03,3.43,0.06,0.06,0.05,Normal
1.71,2.57,5.88,0.06,0.1,0.05,Normal
0.63,1.72,5.07,0.04,0.09,0.07,Normal
1.64,2.38,1.96,0.07,0.11,0.09,Normal
1.49,2.48,1.41,0.06,0.07,0.09,Normal
1.5,2.56,2.64,0.04,0.09,0.25,Normal
0.63,1.15,1.58,0.18,0.1,0.63,Normal
6.72,1.43,3.73,0.23,0.15,0.53,Normal
8.59,7.63,8.88,0.1,0.15,0.39,Normal
2.77,2.87,2.06,0.04,0.08,0.06,Normal
1.94,1.52,5.55,0.15,0.12,0.05,Normal
1.85,6.32,11.62,0.19,0.26,0.06,Normal
1.65,3.89,5.23,0.05,0.04,0.06,Normal
1.76,2.19,9.78,0.12,0.05,0.05,Normal
2.6,2.34,11.18,0.05,0.09,0.16,Normal
2.46,2.99,8.44,0.08,0.11,0.2,Normal
2.19,2.16,8.33,0.09,0.12,0.08,Normal
3.55,1.64,9.41,0.05,0.06,0.07,Normal
4.36,1.93,6.31,0.09,0.11,0.12,Normal
4.86,3.17,7.63,0.08,0.17,0.32,Normal
2.38,1.97,7.65,0.08,0.09,0.17,Normal
3.67,3.09,9.14,0.04,0.12,0.1,Normal
6.12,8.49,23.61,0.27,0.17,0.14,Normal
11.48,12.53,15.18,0.3,0.45,0.1,Normal
4.54,11.37,14.94,0.34,0.57,0.07,Normal
7.38,8.57,7.98,0.26,0.18,0.12,Normal
3.5,1.73,13.72,0.29,0.25,0.07,Normal
7.52,5.05,15.09,0.37,0.33,0.05,Normal
9.04,4.9,18.11,0.35,0.28,0.08,Normal
3.21,5.37,6.16,0.3,0.19,0.07,Normal
1.49,1.97,8.1,0.1,0.07,0.1,Normal
1.73,4.07,4.5,0.23,0.11,0.19,Normal
3.5,3.24,7.48,0.09,0.08,0.23,Normal
1.78,7.58,14.19,0.46,0.28,0.1,Normal
1.67,4.87,6.24,0.1,0.12,0.06,Normal
0.83,2.44,10.54,0.05,0.14,0.05,Normal
2.09,1.96,12.34,0.16,0.15,0.08,Normal
3.03,1.46,8.29,0.1,0.12,0.07,Normal
1.7,2.21,6.35,0.05,0.12,0.1,Normal
0.53,1.06,7.61,0.05,0.06,0.04,Normal
3.08,1.19,14.21,0.06,0.05,0.07,Normal
1.4,2.15,3.65,0.14,0.09,0.07,Normal
1.42,4.19,3.91,0.05,0.09,0.08,Normal
2.03,2.61,5.5,0.11,0.06,0.12,Normal
2.82,3.32,1.89,0.1,0.04,0.13,Normal
4.83,3.41,8.03,0.15,0.13,0.08,Normal
3.39,4.23,6.12,0.08,0.11,0.06,Normal
3.3,6.16,5.72,0.06,0.04,0.04,Normal
2.1,3.26,7.28,0.04,0.08,0.05,Normal
0.9,3.58,7.0,0.07,0.1,0.08,Normal
1.81,1.49,10.16,0.06,0.06,0.04,Normal
1.79,2.61,6.56,0.13,0.04,0.04,Normal
2.1,3.43,8.79,0.09,0.1,0.03,Normal
3.02,4.01,12.59,0.09,0.05,0.04,Normal
3.28,4.63,8.45,0.12,0.06,0.05,Normal
1.72,2.51,9.14,0.11,0.17,0.05,Normal
2.57,3.75,7.39,0.2,0.15,0.02,Normal
3.63,3.66,7.84,0.12,0.1,0.03,Normal
3.17,3.07,5.03,0.05,0.12,0.12,Normal
1.33,3.25,3.44,0.1,0.1,0.45,Normal
2.69,2.73,8.22,0.2,0.25,0.26,Normal
0.68,6.81,14.53,0.43,0.26,0.12,Normal
5.38,5.4,17.71,0.12,0.15,0.03,Normal
2.98,2.04,11.52,0.14,0.11,0.09,Normal
4.57,3.82,14.18,0.14,0.13,0.03,Normal
3.43,2.5,5.21,0.21,0.14,0.04,Normal
0.88,2.24,7.56,0.13,0.11,0.05,Normal
4.55,1.38,8.12,0.14,0.08,0.05,Normal
5.01,1.58,8.2,0.15,0.23,0.08,Normal
1.93,7.13,9.29,0.35,0.17,0.09,Normal
5.71,4.44,12.39,0.17,0.11,0.07,Normal
1.76,3.78,4.64,0.08,0.04,0.06,Normal
1.67,2.44,3.76,0.23,0.07,0.11,Normal
2.39,6.68,8.51,0.11,0.08,0.13,Normal
2.0,1.61,7.42,0.08,0.07,0.08,Normal
3.36,1.7,6.27,0.11,0.1,0.48,Normal
2.35,1.94,3.79,0.07,0.1,0.19,Normal
1.8,2.31,5.07,0.15,0.07,0.07,Normal
2.17,4.98,2.21,0.06,0.04,0.04,Normal
2.22,2.27,4.91,0.06,0.07,0.05,Normal
1.5,1.68,3.83,0.05,0.07,0.09,Normal
1.32,3.13,3.6,0.07,0.08,0.03,Normal
0.99,3.8,4.86,0.04,0.03,0.1,Normal
1.76,3.03,5.35,0.09,0.03,0.04,Normal
2.46,4.44,7.65,0.14,0.1,0.14,Normal
0.63,3.26,2.41,0.08,0.1,0.24,Normal
1.6,3.95,3.79,0.08,0.06,0.26,Normal
1.81,1.51,7.32,0.05,0.11,0.07,Normal
3.53,2.17,9.34,0.09,0.08,0.03,Normal
2.84,2.31,11.87,0.11,0.08,0.07,Normal
1.2,4.12,1.79,0.09,0.04,0.05,Normal
2.51,3.29,4.05,0.13,0.05,0.09,Normal
2.23,1.15,1.6,0.17,0.14,0.71,Normal
5.42,1.91,9.86,0.3,0.26,0.33,Normal
2.63,2.08,9.74,0.12,0.14,0.11,Normal
3.83,8.24,12.53,0.33,0.42,0.03,Normal
1.75,2.06,7.64,0.08,0.04,0.04,Normal
2.2,4.42,10.01,0.05,0.06,0.06,Normal
1.99,2.94,7.27,0.09,0.08,0.07,Normal
1.26,3.04,8.49,0.06,0.1,0.07,Normal
1.9,3.43,3.78,0.06,0.13,0.16,Normal
2.85,4.82,3.68,0.2,0.08,0.47,Normal
1.44,2.09,2.91,0.17,0.19,0.38,Normal
2.13,2.94,4.91,0.06,0.09,0.23,Normal
0.97,1.49,1.9,0.04,0.12,0.14,Normal
1.24,1.78,2.11,0.14,0.18,0.47,Normal
2.45,1.9,3.97,0.05,0.09,0.33,Normal
0.95,2.97,2.51,0.04,0.08,0.17,Normal
1.35,1.58,4.45,0.04,0.06,0.23,Normal
1.45,2.56,2.9,0.07,0.1,0.33,Normal
1.48,2.34,1.95,0.1,0.1,0.41,Normal
2.68,2.26,4.25,0.07,0.14,0.18,Normal
2.36,1.58,2.54,0.11,0.08,0.15,Normal
1.86,3.64,3.24,0.12,0.14,0.08,Normal
1.08,2.01,3.8,0.07,0.08,0.04,Normal
0.82,1.34,2.69,0.06,0.06,0.09,Normal
1.72,1.96,4.32,0.13,0.13,0.06,Normal
1.36,3.9,8.88,0.17,0.16,0.03,Normal
1.26,3.64,2.6,0.04,0.03,0.04,Normal
4.38,3.25,3.13,0.16,0.1,0.12,Normal
0.5,2.05,5.61,0.05,0.06,0.11,Normal
1.07,2.37,1.8,0.04,0.05,0.06,Normal
0.68,2.33,6.04,0.1,0.1,0.24,Normal
3.39,4.84,5.22,0.18,0.09,0.24,Normal
2.78,1.74,8.48,0.03,0.07,0.17,Normal
0.84,2.2,6.58,0.12,0.06,0.04,Normal
1.54,2.52,1.25,0.05,0.09,0.11,Normal
1.06,1.94,0.89,0.04,0.03,0.07,Normal
2.21,2.97,2.47,0.03,0.08,0.12,Normal
1.61,3.38,1.78,0.04,0.05,0.06,Normal
1.0,1.96,3.05,0.05,0.1,0.2,Normal
2.06,2.61,3.96,0.05,0.12,0.23,Normal
3.11,2.62,4.75,0.15,0.16,0.41,Normal
1.77,2.89,3.55,0.15,0.17,0.37,Normal
4.06,4.92,3.87,0.04,0.16,0.26,Normal
1.23,5.27,7.05,0.18,0.08,0.09,Normal
2.8,3.44,6.21,0.25,0.12,0.18,Normal
3.76,4.82,9.13,0.12,0.09,0.14,Normal
7.94,10.23,18.8,0.27,0.42,0.21,Normal
2.07,2.28,17.6,0.14,0.09,0.06,Normal
11.72,11.56,7.68,0.39,0.43,0.12,Normal
3.8,4.14,16.99,0.32,0.42,0.09,Normal
6.14,3.91,12.78,0.12,0.17,0.04,Normal
4.21,8.91,6.41,0.25,0.19,0.05,Normal
7.68,12.79,6.97,0.18,0.3,0.09,Normal
3.4,9.3,12.12,0.45,0.49,0.05,Normal
3.08,4.64,14.77,0.3,0.3,0.04,Normal
3.28,4.15,8.88,0.2,0.22,0.03,Normal
2.22,2.9,5.25,0.07,0.12,0.04,Normal
2.2,3.46,8.4,0.12,0.12,0.05,Normal
3.64,3.48,8.29,0.08,0.14,0.06,Normal
2.0,3.83,8.75,0.04,0.07,0.1,Normal
5.8,3.97,8.92,0.17,0.1,0.09,Normal
6.99,3.15,15.91,0.2,0.19,0.08,Normal
6.54,6.96,8.86,0.23,0.31,0.14,Normal
10.35,18.11,15.4,0.19,0.57,0.09,Normal
3.86,6.58,23.21,0.41,0.45,0.17,Normal
6.96,5.06,26.07,0.5,0.52,0.17,Normal
7.13,12.02,13.06,0.24,0.62,0.18,Normal
5.53,12.81,17.27,0.28,0.43,0.14,Normal
5.47,16.43,10.19,0.37,0.41,0.09,Normal
5.33,5.48,15.81,0.37,0.35,0.06,Normal
3.35,6.5,15.33,0.28,0.25,0.07,Normal
1.39,2.07,7.87,0.12,0.18,0.04,Normal
1.21,4.07,9.45,0.12,0.2,0.06,Normal
2.63,1.51,7.24,0.12,0.1,0.03,Normal
2.28,6.04,10.42,0.05,0.04,0.04,Normal
0.79,4.8,5.54,0.05,0.06,0.04,Normal
2.09,1.17,3.34,0.03,0.07,0.02,Normal
1.37,2.36,3.58,0.04,0.05,0.03,Normal
0.77,1.75,1.33,0.04,0.1,0.27,Normal
13.25,1.37,7.64,0.2,0.32,0.59,Normal
3.84,3.15,5.2,0.23,0.33,0.38,Normal
5.39,7.5,10.82,0.15,0.15,0.12,Normal
5.31,7.61,11.36,0.23,0.29,0.08,Normal
10.38,11.05,19.97,0.34,0.37,0.08,Normal
7.98,6.96,25.48,0.28,0.62,0.19,Normal
3.75,4.66,14.61,0.18,0.26,0.07,Normal
10.08,10.94,11.92,0.26,0.37,0.06,Normal
3.62,10.85,12.15,0.28,0.27,0.1,Normal
5.06,14.21,13.39,0.25,0.45,0.11,Normal
7.93,18.27,7.17,0.24,0.48,0.06,Normal
2.28,6.22,9.96,0.2,0.4,0.11,Normal
3.82,7.62,13.8,0.3,0.38,0.1,Normal
5.1,12.21,21.04,0.28,0.58,0.12,Normal
4.94,8.08,17.95,0.32,0.5,0.08,Normal
5.97,9.09,25.44,0.45,0.33,0.11,Normal
9.39,13.87,18.48,0.29,0.59,0.14,Normal
6.93,7.51,11.82,0.32,0.49,0.16,Normal
11.3,7.66,4.79,0.38,0.52,0.14,Normal
10.28,7.85,32.92,0.46,0.51,0.11,Normal
11.39,5.55,22.48,0.45,0.42,0.15,Normal
16.97,8.23,24.23,0.3,0.63,0.16,Normal
8.62,7.56,15.5,0.32,0.79,0.23,Normal
14.08,4.76,26.62,0.39,0.57,0.22,Normal
15.93,8.28,11.87,0.32,0.54,0.14,Normal
10.93,5.01,14.7,0.39,0.59,0.19,Normal
15.13,5.95,23.91,0.54,0.27,0.11,Normal
12.2,7.77,22.96,0.35,0.53,0.11,Normal
6.08,6.87,19.96,0.37,0.45,0.12,Normal
3.52,7.2,6.16,0.17,0.37,0.05,Normal
1.67,2.09,3.69,0.1,0.14,0.06,Normal
1.74,0.97,6.41,0.16,0.05,0.1,Normal
6.47,4.62,13.63,0.35,0.15,0.07,Normal
7.22,6.25,13.76,0.35,0.36,0.14,Normal
13.03,5.93,24.56,0.33,0.22,0.13,Normal
